siteID,plotID,year,month,count,nlcdClass,mean_litter_cover
HARV,HARV_001,2020,7,22,deciduousForest,98
HARV,HARV_006,2020,7,15,deciduousForest,95.33333333333333
HARV,HARV_008,2020,7,134,deciduousForest,93.5
HARV,HARV_010,2020,7,20,mixedForest,97
HARV,HARV_021,2020,7,37,evergreenForest,97
HARV,HARV_023,2020,7,71,evergreenForest,97.6
SCBI,SCBI_016,2020,7,10,deciduousForest,65.16666666666667
SCBI,SCBI_035,2020,7,13,pastureHay,90.66666666666667
HARV,HARV_023,2020,8,42,evergreenForest,98
HARV,HARV_001,2021,6,6,deciduousForest,98.5
HARV,HARV_008,2021,6,85,deciduousForest,95.5
HARV,HARV_010,2021,6,14,mixedForest,97.5
HARV,HARV_021,2021,6,38,evergreenForest,98.33333333333333
HARV,HARV_023,2021,6,59,evergreenForest,98
SCBI,SCBI_002,2021,6,8,deciduousForest,82
SCBI,SCBI_008,2021,6,36,deciduousForest,85.16666666666667
HARV,HARV_010,2022,6,28,mixedForest,95.2
HARV,HARV_021,2022,6,49,evergreenForest,96.16666666666667
HARV,HARV_008,2022,7,202,deciduousForest,93.5
HARV,HARV_023,2022,7,93,evergreenForest,97
SCBI,SCBI_016,2022,7,2,deciduousForest,60.666666666666664
SCBI,SCBI_035,2022,8,16,pastureHay,97.16666666666667
SCBI,SCBI_002,2023,5,31,deciduousForest,83.33333333333333
SCBI,SCBI_003,2023,5,16,deciduousForest,61.166666666666664
SCBI,SCBI_004,2023,5,9,deciduousForest,92.5
SCBI,SCBI_008,2023,5,24,deciduousForest,92.5
SCBI,SCBI_016,2023,5,14,deciduousForest,87.5
HARV,HARV_006,2023,6,1,deciduousForest,92.83333333333333
HARV,HARV_008,2023,6,1,deciduousForest,95.83333333333333
HARV,HARV_010,2023,6,2,mixedForest,96.83333333333333
HARV,HARV_021,2023,6,1,evergreenForest,90.66666666666667
HARV,HARV_023,2023,6,7,evergreenForest,91.83333333333333
SCBI,SCBI_035,2023,7,30,pastureHay,99
HARV,HARV_008,2024,7,8,deciduousForest,94.6
SCBI,SCBI_016,2024,7,7,deciduousForest,88.66666666666667
SCBI,SCBI_035,2024,7,7,pastureHay,93.5
